,JPY=X,JPY=X,JPY=X,JPY=X,JPY=X,JPY=X,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,GC=F,GC=F,GC=F,GC=F,GC=F,GC=F,CNY=X,CNY=X,CNY=X,CNY=X,CNY=X,CNY=X,UDOW,UDOW,UDOW,UDOW,UDOW,UDOW,CL=F,CL=F,CL=F,CL=F,CL=F,CL=F,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,CHFUSD=X,CHFUSD=X,CHFUSD=X,CHFUSD=X,CHFUSD=X,CHFUSD=X,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS,000001.SS
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,92.43000030517578,93.13999938964844,91.94999694824219,92.91000366210938,92.91000366210938,0.0,1126.5999755859375,1127.6400146484375,1114.81005859375,1115.0999755859375,1115.0999755859375,2076990000.0,1.6076911687850952,1.6236928701400757,1.6052910089492798,1.6182016134262085,1.6182016134262085,0.0,1095.199951171875,1106.0999755859375,1094.0,1095.199951171875,1095.199951171875,149.0,6.828999996185303,6.83050012588501,6.826550006866455,6.83050012588501,6.83050012588501,0.0,,,,,,,79.27999877929688,80.0,79.16000366210938,79.36000061035156,79.36000061035156,120372.0,1.4342057704925537,1.4438974857330322,1.4310450553894043,1.4327058792114258,1.4327058792114258,0.0,0.9651577472686768,0.9722898006439209,0.9632983207702637,0.9669309854507446,0.9669309854507446,0.0,2292.919921875,2293.590087890625,2269.110107421875,2269.14990234375,2269.14990234375,1237820000.0,3264.998046875,3282.2109375,3250.02587890625,3277.138916015625,3277.138916015625,116600.0
2010-01-01,92.94000244140625,93.08999633789062,92.91999816894531,92.91999816894531,92.91999816894531,0.0,,,,,,,1.6182016134262085,1.6182016134262085,1.6131113767623901,1.6132936477661133,1.6132936477661133,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.4327058792114258,1.4401957988739014,1.4327058792114258,1.4389938116073608,1.4389938116073608,0.0,0.9669309854507446,0.9672114849090576,0.9632983207702637,0.9672114849090576,0.9672114849090576,0.0,,,,,,,,,,,,
2010-01-04,92.76000213623047,93.20099639892578,92.1969985961914,92.49500274658203,92.49500274658203,0.0,1116.56005859375,1133.8699951171875,1116.56005859375,1132.989990234375,1132.989990234375,3991400000.0,1.6137100458145142,1.623903751373291,1.6065031290054321,1.6113698482513428,1.6113698482513428,0.0,1117.699951171875,1122.300048828125,1097.0999755859375,1117.699951171875,1117.699951171875,184.0,6.81689977645874,6.81689977645874,6.81689977645874,6.81689977645874,6.81689977645874,0.0,,,,,,,79.62999725341797,81.68000030517578,79.62999725341797,81.51000213623047,81.51000213623047,263542.0,1.4310041666030884,1.4451910257339478,1.4262080192565918,1.4423978328704834,1.4423978328704834,0.0,0.9652509689331055,0.9739943146705627,0.9601536393165588,0.9717229008674622,0.9717229008674622,0.0,2294.409912109375,2311.14990234375,2294.409912109375,2308.419921875,2308.419921875,1931380000.0,3289.75,3295.279052734375,3243.319091796875,3243.760009765625,3243.760009765625,109400.0
2010-01-05,92.47000122070312,92.48600006103516,91.28299713134766,91.58499908447266,91.58499908447266,0.0,1132.6600341796875,1136.6300048828125,1129.6600341796875,1136.52001953125,1136.52001953125,2491020000.0,1.6118632555007935,1.6155872344970703,1.5970104932785034,1.599078893661499,1.599078893661499,0.0,1118.0999755859375,1126.5,1115.0,1118.0999755859375,1118.0999755859375,53.0,6.816999912261963,6.816999912261963,6.816999912261963,6.816999912261963,6.816999912261963,0.0,,,,,,,81.62999725341797,82.0,80.94999694824219,81.7699966430664,81.7699966430664,258887.0,1.442710041999817,1.4483097791671753,1.4351937770843506,1.4365959167480469,1.4365959167480469,0.0,0.9719117283821106,0.9755145907402039,0.9654373526573181,0.9673987030982971,0.9673987030982971,0.0,2307.27001953125,2313.72998046875,2295.6201171875,2308.7099609375,2308.7099609375,2367860000.0,3254.468017578125,3290.511962890625,3221.4619140625,3282.178955078125,3282.178955078125,126200.0
2010-01-06,91.55000305175781,92.70999908447266,91.52200317382812,92.35600280761719,92.35600280761719,0.0,1135.7099609375,1139.18994140625,1133.949951171875,1137.1400146484375,1137.1400146484375,4972660000.0,1.5993603467941284,1.6063225269317627,1.5943877696990967,1.602384328842163,1.602384328842163,0.0,1135.9000244140625,1139.199951171875,1120.699951171875,1135.9000244140625,1135.9000244140625,363.0,6.816999912261963,6.818299770355225,6.816999912261963,6.818299770355225,6.818299770355225,0.0,,,,,,,81.43000030517578,83.5199966430664,80.8499984741211,83.18000030517578,83.18000030517578,370059.0,1.4365959167480469,1.4434596300125122,1.4291226863861084,1.4404033422470093,1.4404033422470093,0.0,0.9675859212875366,0.9756097793579102,0.9635768532752991,0.9731412529945374,0.9731412529945374,0.0,2307.7099609375,2314.070068359375,2295.679931640625,2301.090087890625,2301.090087890625,2253340000.0,3277.51708984375,3295.867919921875,3253.0439453125,3254.215087890625,3254.215087890625,123600.0
2010-01-07,92.33599853515625,93.73500061035156,92.11000061035156,93.38999938964844,93.38999938964844,0.0,1136.27001953125,1142.4599609375,1131.3199462890625,1141.68994140625,1141.68994140625,5270680000.0,1.6022045612335205,1.6058582067489624,1.5900778770446777,1.5933969020843506,1.5933969020843506,0.0,1133.0999755859375,1133.0999755859375,1129.199951171875,1133.0999755859375,1133.0999755859375,56.0,6.818299770355225,6.818299770355225,6.817800045013428,6.817800045013428,6.817800045013428,0.0,,,,,,,83.19999694824219,83.36000061035156,82.26000213623047,82.66000366210938,82.66000366210938,246632.0,1.4402996301651,1.444481372833252,1.430206060409546,1.4318032264709473,1.4318032264709473,0.0,0.9732359647750854,0.9763718247413635,0.9645991921424866,0.9674922823905945,0.9674922823905945,0.0,2298.090087890625,2301.300048828125,2285.219970703125,2300.050048828125,2300.050048828125,2270050000.0,3253.990966796875,3268.819091796875,3176.70703125,3192.77587890625,3192.77587890625,128600.0
2010-01-08,93.43900299072266,93.66000366210938,92.32099914550781,92.66000366210938,92.66000366210938,0.0,1140.52001953125,1145.3900146484375,1136.219970703125,1144.97998046875,1144.97998046875,4389590000.0,1.5938032865524292,1.6100986003875732,1.591799020767212,1.602410078048706,1.602410078048706,0.0,1138.199951171875,1138.199951171875,1122.699951171875,1138.199951171875,1138.199951171875,54.0,6.817999839782715,6.817999839782715,6.817500114440918,6.817500114440918,6.817500114440918,0.0,,,,,,,82.6500015258789,83.47000122070312,81.80000305175781,82.75,82.75,310377.0,1.4320902824401855,1.4436055421829224,1.4271035194396973,1.44110906124115,1.44110906124115,0.0,0.9676794409751892,0.9786650538444519,0.9632055163383484,0.9769441485404968,0.9769441485404968,0.0,2292.239990234375,2317.60009765625,2290.610107421875,2317.169921875,2317.169921875,2145390000.0,3177.259033203125,3198.919921875,3149.01708984375,3195.9970703125,3195.9970703125,98400.0
2010-01-11,92.37899780273438,92.62999725341797,91.79000091552734,92.09200286865234,92.09200286865234,0.0,1145.9599609375,1149.739990234375,1142.02001953125,1146.97998046875,1146.97998046875,4255780000.0,1.6082600355148315,1.6194593906402588,1.606787085533142,1.6112918853759766,1.6112918853759766,0.0,1150.699951171875,1161.199951171875,1143.0,1150.699951171875,1150.699951171875,177.0,6.816500186920166,6.816500186920166,6.816500186920166,6.816500186920166,6.816500186920166,0.0,,,,,,,82.87999725341797,83.94999694824219,81.95999908447266,82.5199966430664,82.5199966430664,296304.0,1.4464871883392334,1.4554345607757568,1.4464871883392334,1.4511260986328125,1.4511260986328125,0.0,0.9801038503646851,0.9870693683624268,0.9801038503646851,0.9835742712020874,0.9835742712020874,0.0,2324.780029296875,2326.280029296875,2302.2099609375,2312.409912109375,2312.409912109375,2077890000.0,3301.611083984375,3306.75,3197.327880859375,3212.75,3212.75,136400.0
2010-01-12,92.0999984741211,92.39199829101562,90.7300033569336,91.08000183105469,91.08000183105469,0.0,1143.81005859375,1143.81005859375,1131.77001953125,1136.219970703125,1136.219970703125,4716160000.0,1.611499547958374,1.6196168661117554,1.6066062450408936,1.615169644355774,1.615169644355774,0.0,1128.9000244140625,1157.199951171875,1127.199951171875,1128.9000244140625,1128.9000244140625,51.0,6.8165998458862305,6.8165998458862305,6.8165998458862305,6.8165998458862305,6.8165998458862305,0.0,,,,,,,82.06999969482422,82.33999633789062,79.91000366210938,80.79000091552734,80.79000091552734,333866.0,1.4508944749832153,1.454376220703125,1.4459643363952637,1.447659969329834,1.447659969329834,0.0,0.9835742712020874,0.985512912273407,0.9798158407211304,0.9815468788146973,0.9815468788146973,0.0,2297.280029296875,2298.85009765625,2272.699951171875,2282.31005859375,2282.31005859375,2368320000.0,3205.705078125,3275.201904296875,3180.0849609375,3273.966064453125,3273.966064453125,140600.0
